,College,Tuition,Coordinates,Cluster Labels,Category 1,Category 2,Category 3,Category 4,Category 5
28,Wellesley College,20013,"(42.29182055, -71.3033260683231)",1,Food,Shops,Parks & Outdoors,Building,Arts & Entertainment
29,Georgetown University,26625,"(38.90893925, -77.0745796206083)",1,Food,Shops,Parks & Outdoors,Nightlife,Building
30,Swarthmore College,19641,"(39.9035501, -75.354092055757)",1,Shops,Food,Parks & Outdoors,Building,Travel
31,Tufts University,28076,"(42.40629165, -71.1197504981564)",1,Food,Shops,Parks & Outdoors,Arts & Entertainment,Nightlife
32,"University of California, Berkeley ",17160,"(37.87094645, -122.266398722925)",1,Food,Shops,Arts & Entertainment,Building,Nightlife
33,Claremont McKenna College ,30527,"(34.1023497, -117.7067162)",3,Food,Shops,Nightlife,Parks & Outdoors,Building
34,Carleton College,28587,"(44.47183535, -93.1414580590152)",2,Shops,Food,Nightlife,None,None
35,Boston University,31539,"(42.35050035, -71.1025599049017)",5,Food,Shops,Parks & Outdoors,Arts & Entertainment,Nightlife
36,Middlebury College ,21437,"(44.0090777, -73.1767946)",1,Shops,Food,Arts & Entertainment,Parks & Outdoors,Travel
37,University of North Carolina at Chapel Hill ,10077,"(35.90503535, -79.0477532652511)",5,Food,Shops,Nightlife,Arts & Entertainment,Parks & Outdoors
38,Case Western Reserve University ,33124,"(41.50138695, -81.6007021615902)",5,Food,Shops,Arts & Entertainment,Parks & Outdoors,Building
39,Haverford College ,21144,"(40.0071506, -75.3069423257631)",2,Food,Shops,Building,Parks & Outdoors,Nightlife
40,"University of California, Davis ",16039,"(38.52247515, -121.751392674913)",5,Parks & Outdoors,Food,Arts & Entertainment,Education,Nightlife
41,Smith College ,24258,"(42.3148532, -72.6401382)",2,Food,Shops,Arts & Entertainment,Parks & Outdoors,Building
42,Purdue University West Lafayette,11693,"(40.4275052, -86.9122769)",1,Food,Shops,Nightlife,Parks & Outdoors,Arts & Entertainment
43,Bowdoin College,24888,"(43.9075035, -69.9617742423256)",1,Food,Shops,Nightlife,Arts & Entertainment,Travel
44,"University of California, San Diego",14770,"(32.87935255, -117.231100493855)",5,Food,Shops,Parks & Outdoors,Building,Travel
45,Wesleyan University,20490,"(41.5551478, -72.6569115610163)",5,Food,Shops,Nightlife,Building,Travel
46,University of Miami,37424,"(25.7172788, -80.2786915764625)",2,Food,Shops,Arts & Entertainment,Building,Parks & Outdoors
47,University of Illinois at Urbana-Champaign ,16683,"(40.101976, -88.2314378)",1,Food,Shops,Nightlife,Parks & Outdoors,Travel
48,Lehigh University ,27478,"(40.6068028, -75.3782488)",0,Food,Shops,Arts & Entertainment,Nightlife,Parks & Outdoors
49,Bryn Mawr College,31900,"(40.02813555, -75.3159205851816)",2,Food,Shops,Nightlife,Parks & Outdoors,Arts & Entertainment
